COMPANY_ID,A_NO,FILE_URL,
"62966","A77133773","http://www.canpages.ca/printad/MTL10/A77133773.swf",
"62966","A77133774","http://www.canpages.ca/printad/MTL10/A77133774.swf",
"62966","A77133775","http://www.canpages.ca/printad/MTL10/A77133775.swf",
"62966","A77133776","http://www.canpages.ca/printad/MTL10/A77133776.swf",
"62966","A77133777","http://www.canpages.ca/printad/MTL10/A77133777.swf",
"62966","A77133778","http://www.canpages.ca/printad/MTL10/A77133778.swf",
"62966","A77133779","http://www.canpages.ca/printad/MTL10/A77133779.swf",
"62966","A77133780","http://www.canpages.ca/printad/MTL10/A77133780.swf",
"62966","A77133781","http://www.canpages.ca/printad/MTL10/A77133781.swf",
"62966","A77133812","http://www.canpages.ca/printad/MTL10/A77133812.swf",
"63150","A77385848","http://www.canpages.ca/printad/SSM11/A77385848.swf",
"63150","A77385849","http://www.canpages.ca/printad/SSM11/A77385849.swf",
"63522","A77303122","http://www.canpages.ca/printad/VIC11/A77303122.swf",
"63680","A77242370","http://www.canpages.ca/printad/CGY11/A77242370.swf",
"63680","A77242371","http://www.canpages.ca/printad/CGY11/A77242371.swf",
"63680","A77242462","http://www.canpages.ca/printad/CGY11/A77242462.L.swf",
"63680","A77242462","http://www.canpages.ca/printad/CGY11/A77242462.R.swf",
"63680","A77242463","http://www.canpages.ca/printad/CGY11/A77242463.swf",
"63739","A77392943","http://www.canpages.ca/printad/ONG12/A77392943.swf",
"63745","A77283336","http://www.canpages.ca/printad/NGF11/A77283336.swf",
"64189","A77314786","http://www.canpages.ca/printad/EDM11/A77314786.swf",
"64400","A77349407","http://www.canpages.ca/printad/RDR11/A77349407.swf",
"64576","A77281567","http://www.canpages.ca/printad/MTL10/A77281567.swf",
"64701","A77265272","http://www.canpages.ca/printad/VAN11/A77265272.swf",
"64716","A77299076","http://www.canpages.ca/printad/BEL11/A77299076.swf",
"64716","A77299077","http://www.canpages.ca/printad/BEL11/A77299077.swf",
"65507","A77354323","http://www.canpages.ca/printad/CHT11/A77354323.swf",
"65747","A77350981","http://www.canpages.ca/printad/SSM11/A77350981.swf",
"65873","A77272555","http://www.canpages.ca/printad/VAN11/A77272555.swf",
"65949","A77066009","http://www.canpages.ca/printad/SCR09/A77066009.swf",
"65949","A77066070","http://www.canpages.ca/printad/TOR09/A77066070.swf",
"66902","A77345064","http://www.canpages.ca/printad/SUD11/A77345064.swf",
"66960","A77257516","http://www.canpages.ca/printad/VAN11/A77257516.swf",
"66960","A77257517","http://www.canpages.ca/printad/VAN11/A77257517.swf",
"67161","A77244941","http://www.canpages.ca/printad/ALV11/A77244941.swf",
"67161","A77342867","http://www.canpages.ca/printad/NMO11/A77342867.swf",
"67161","A77342868","http://www.canpages.ca/printad/CCR11/A77342868.swf",
"67485","A77420084","http://www.canpages.ca/printad/ALS12/A77420084.swf",
"67573","A77357011","http://www.canpages.ca/printad/SAR12/A77357011.swf",
"67573","A77357042","http://www.canpages.ca/printad/SAR12/A77357042.swf",
"67573","A77357043","http://www.canpages.ca/printad/SAR12/A77357043.swf",
"70102","A77306467","http://www.canpages.ca/printad/BEL11/A77306467.swf",
"70386","A77279307","http://www.canpages.ca/printad/CGY11/A77279307.swf",
"70705","A77310446","http://www.canpages.ca/printad/CGY11/A77310446.swf",
"70707","A77238764","http://www.canpages.ca/printad/CGY11/A77238764.swf",
"70817","A77234584","http://www.canpages.ca/printad/KKL11/A77234584.swf",
"70817","A77372963","http://www.canpages.ca/printad/NBS11/A77372963.swf",
"71673","A77362260","http://www.canpages.ca/printad/MPR11/A77362260.swf",
"71673","A77362261","http://www.canpages.ca/printad/MPR11/A77362261.swf",
"71673","A77362322","http://www.canpages.ca/printad/MPR11/A77362322.swf",
"72003","A77091146","http://www.canpages.ca/printad/SCR09/A77091146.swf",
"72003","A77091147","http://www.canpages.ca/printad/TOR09/A77091147.swf",
"72599","A77294472","http://www.canpages.ca/printad/CGY11/A77294472.swf",
"72687","A77310065","http://www.canpages.ca/printad/CHT11/A77310065.swf",
"72687","A77310066","http://www.canpages.ca/printad/CHT11/A77310066.swf",
"72687","A77380437","http://www.canpages.ca/printad/WIN12/A77380437.swf",
"72795","A77319560","http://www.canpages.ca/printad/CHT11/A77319560.swf",
"72906","A77295972","http://www.canpages.ca/printad/SUD11/A77295972.swf",
"73149","A77370124","http://www.canpages.ca/printad/TKP12/A77370124.swf",
"73401","A77267969","http://www.canpages.ca/printad/VAN11/A77267969.swf",
"73401","A77267970","http://www.canpages.ca/printad/VAN11/A77267970.swf",
"75600","A77298933","http://www.canpages.ca/printad/OSH11/A77298933.swf",
"75788","A77377587","http://www.canpages.ca/printad/TKP12/A77377587.swf",
"76167","A77380708","http://www.canpages.ca/printad/EDM11/A77380708.swf",
"76183","A77267693","http://www.canpages.ca/printad/MTL10/A77267693.swf",
"76183","A77267694","http://www.canpages.ca/printad/MTL10/A77267694.swf",
"76557","A77324965","http://www.canpages.ca/printad/FHC11/A77324965.swf",
"77091","A77369995","http://www.canpages.ca/printad/TKP12/A77369995.swf",
"77538","A77067643","http://www.canpages.ca/printad/TOR09/A77067643.swf",
"77610","A77270442","http://www.canpages.ca/printad/VAN11/A77270442.swf",
"77942","A77378504","http://www.canpages.ca/printad/TRI11/A77378504.swf",
"80827","A77213686","http://www.canpages.ca/printad/KKL11/A77213686.swf",
"80827","A77225892","http://www.canpages.ca/printad/MSK11/A77225892.swf",
